item_id,category_id,popularity,most_frequent_property
43511,1179,0.0,888
54408,209,5.0,189
10006,1694,7.0,765
49432,1280,1.0,888
39563,1196,6.0,348
32776,739,0.0,227
52161,1142,0.0,283
9750,227,0.0,888
38594,1325,1.0,227
52427,535,0.0,46
21080,942,0.0,689
24928,436,0.0,960
6610,-1,1.0,-1
43203,227,0.0,917
25539,53,0.0,790
65991,-1,3.0,-1
30072,389,0.0,960
65228,1097,2.0,-2
7479,586,5.0,348
42435,1277,1.0,-3
59093,224,2.0,348
43066,1677,0.0,888
5792,1483,29.0,591
48606,1464,141.0,790
67158,1244,3.0,-2
37916,354,0.0,227
68811,1082,0.0,888
48893,508,0.0,227
39124,646,0.0,888
21441,1120,7.0,225
45007,173,2.0,790
35396,219,3.0,790
17935,1142,0.0,343
34047,-1,6.0,-1
24323,1535,0.0,595
7835,366,3.0,790
25507,330,0.0,33
53815,1418,0.0,761
6740,1421,1.0,-2
8901,1477,0.0,1093
8526,915,0.0,689
39896,331,0.0,839
39208,173,0.0,888
14581,324,1.0,645
42423,173,0.0,888
63901,-1,1.0,-1
42223,1503,4.0,888
10824,-1,1.0,-1
3828,1338,0.0,761
19547,1026,133.0,790
52816,498,0.0,-3
44416,-1,12.0,-1
61074,1076,1.0,186
42602,1084,0.0,38
5367,74,2.0,790
47379,-1,15.0,-1
28272,-1,1.0,-1
68766,184,0.0,28
20360,160,105.0,888
18620,1007,0.0,807
7634,1343,1.0,678
56808,1247,1.0,674
22889,858,0.0,888
68635,1542,0.0,230
27419,586,2.0,348
6210,1113,4.0,-2
59354,84,1.0,888
59368,-1,2.0,-1
46499,686,0.0,888
37885,1147,0.0,-3
162,1680,1.0,-2
23572,1258,6.0,348
47499,1076,4.0,186
49609,1286,1.0,776
12650,-1,1.0,-1
24331,1051,0.0,400
60442,1535,0.0,839
8325,730,0.0,888
70528,1051,2.0,400
61499,839,5.0,888
2695,317,2.0,202
3981,1628,1.0,-3
55282,1216,2.0,790
1436,209,0.0,6
46095,173,0.0,6
62803,1043,0.0,888
56927,686,10.0,888
49111,1285,0.0,243
57638,1643,5.0,790
44455,686,0.0,486
38694,936,5.0,888
38608,242,5.0,888
34600,1084,2.0,678
9298,-1,1.0,-1
30599,184,0.0,575
16259,1277,3.0,790
11959,646,0.0,61
70654,-1,3.0,-1
892,490,0.0,-2
7319,944,2.0,790
1180,1462,1.0,464
1617,1301,0.0,202
67343,65,3.0,888
25514,858,381.0,790
51192,242,2.0,810
54569,-1,2.0,-1
24432,957,1.0,-3
68333,389,0.0,575
24482,575,6.0,888
69802,173,0.0,1014
68216,84,2.0,400
51784,84,0.0,400
32171,769,0.0,790
5941,739,2.0,227
43634,1250,0.0,790
69518,50,0.0,293
35035,-1,1.0,-1
11189,1634,1.0,888
63344,-1,1.0,-1
22534,746,0.0,698
48949,1119,39.0,-2
65793,-1,4.0,-1
68965,1477,5.0,776
17960,-1,1.0,-1
47782,1301,0.0,202
65701,-1,2.0,-1
46262,1172,0.0,344
51968,-1,1.0,-1
60795,173,0.0,-2
27986,1483,0.0,888
53912,330,8.0,790
42600,1418,3.0,888
20223,-1,1.0,-1
26411,1255,2.0,-2
36232,173,0.0,6
32424,635,3.0,790
47274,-1,1.0,-1
38787,242,2.0,888
16958,1098,1.0,790
31591,1043,210.0,790
65158,-1,2.0,-1
41276,1565,0.0,-2
639,-1,3.0,-1
8850,-1,3.0,-1
14810,1142,0.0,790
27890,173,0.0,96
21669,-1,1.0,-1
65804,342,1.0,888
32749,988,0.0,888
55669,1076,0.0,186
25578,142,0.0,839
223,550,0.0,888
25794,1282,0.0,227
6280,618,0.0,790
56612,1007,0.0,108
54701,1273,0.0,450
60189,707,20.0,981
62735,546,0.0,-3
12948,160,2.0,888
57306,828,0.0,888
58113,-1,2.0,-1
60210,705,0.0,698
63559,1680,0.0,678
30210,686,0.0,888
30113,1432,0.0,28
24064,69,1.0,776
25269,342,0.0,888
41118,1685,0.0,839
50087,1205,1.0,888
44271,196,3.0,888
21222,1061,0.0,38
23886,-1,1.0,-1
25299,1076,0.0,186
54249,403,2.0,961
48673,769,0.0,719
33279,-1,1.0,-1
17851,535,0.0,689
53565,769,3.0,790
19685,1542,0.0,839
68403,828,30.0,-2
34506,1404,1.0,888
37514,1351,0.0,-3
22109,988,0.0,888
1602,1680,2.0,790
32569,-1,4.0,-1
36727,475,0.0,928
4130,126,1.0,-2
310,1010,0.0,888
15530,191,0.0,928
14011,697,51.0,159
46416,936,3.0,888
5442,637,3.0,584
11662,801,0.0,6
58579,618,0.0,790
68052,1603,1.0,888
49402,1301,0.0,227
68246,959,0.0,566
20185,1002,6.0,888
35227,818,6.0,776
2806,1142,0.0,961
6899,1173,0.0,888
64872,56,10.0,790
26963,382,1.0,888
28405,718,11.0,776
60178,184,1.0,810
46359,1262,0.0,888
8253,624,5.0,-2
54446,1073,0.0,888
878,1493,0.0,888
61671,342,0.0,681
51137,366,1.0,888
59774,337,5.0,-2
66721,1007,2.0,917
