item_id,category_id,popularity,most_frequent_property,popularity_weekly
43511,1179,0.0,888,0.0
54408,209,5.0,189,1.25
10006,1694,7.0,765,1.0
49432,1280,1.0,888,1.0
39563,1196,6.0,348,1.2
32776,739,0.0,227,0.0
52161,1142,0.0,283,0.0
9750,227,0.0,888,0.0
38594,1325,1.0,227,1.0
52427,535,0.0,46,0.0
21080,942,0.0,689,0.0
24928,436,0.0,960,0.0
6610,-1,1.0,-1,1.0
43203,227,0.0,917,0.0
25539,53,0.0,790,0.0
65991,-1,3.0,-1,1.0
30072,389,0.0,960,0.0
65228,1097,2.0,-2,1.0
7479,586,5.0,348,1.0
42435,1277,1.0,-3,1.0
59093,224,2.0,348,1.0
43066,1677,0.0,888,0.0
5792,1483,29.0,591,1.1956521739130435
48606,1464,141.0,790,4.548387096774194
67158,1244,3.0,-2,1.0
37916,354,0.0,227,0.0
68811,1082,0.0,888,0.0
48893,508,0.0,227,0.0
39124,646,0.0,888,0.0
21441,1120,7.0,225,1.1666666666666667
45007,173,2.0,790,1.0
35396,219,3.0,790,3.0
17935,1142,0.0,343,0.0
34047,-1,6.0,-1,1.0
24323,1535,0.0,595,0.0
7835,366,3.0,790,1.0
25507,330,0.0,33,0.0
53815,1418,0.0,761,0.0
6740,1421,1.0,-2,1.0
8901,1477,0.0,1093,0.0
8526,915,0.0,689,0.0
39896,331,0.0,839,0.0
39208,173,0.0,888,0.0
14581,324,1.0,645,1.0
42423,173,0.0,888,0.0
63901,-1,1.0,-1,1.0
42223,1503,4.0,888,1.0
10824,-1,1.0,-1,1.0
3828,1338,0.0,761,0.0
19547,1026,133.0,790,6.65
52816,498,0.0,-3,0.0
44416,-1,12.0,-1,1.0
61074,1076,1.0,186,1.0
42602,1084,0.0,38,0.0
5367,74,2.0,790,1.0
47379,-1,15.0,-1,1.1538461538461537
28272,-1,1.0,-1,1.0
68766,184,0.0,28,0.0
20360,160,105.0,888,26.25
18620,1007,0.0,807,0.0
7634,1343,1.0,678,1.0
56808,1247,1.0,674,1.0
22889,858,0.0,888,0.0
68635,1542,0.0,230,0.0
27419,586,2.0,348,1.0
6210,1113,4.0,-2,2.0
59354,84,1.0,888,1.0
59368,-1,2.0,-1,1.0
46499,686,0.0,888,0.0
37885,1147,0.0,-3,0.0
162,1680,1.0,-2,1.0
23572,1258,6.0,348,1.2
47499,1076,4.0,186,1.0
49609,1286,1.0,776,1.0
12650,-1,1.0,-1,1.0
24331,1051,0.0,400,0.0
60442,1535,0.0,839,0.0
8325,730,0.0,888,0.0
70528,1051,2.0,400,1.0
61499,839,5.0,888,1.3333333333333333
