item_id,category_id
43511,1179
54408,209
10006,1694
49432,1280
39563,1196
32776,739
52161,1142
9750,227
38594,1325
52427,535
21080,942
24928,436
6610,-1
43203,227
25539,53
65991,-1
30072,389
65228,1097
7479,586
42435,1277
59093,224
43066,1677
5792,1483
48606,1464
67158,1244
37916,354
68811,1082
48893,508
39124,646
21441,1120
45007,173
35396,219
17935,1142
34047,-1
24323,1535
7835,366
25507,330
53815,1418
6740,1421
8901,1477
8526,915
39896,331
39208,173
14581,324
42423,173
63901,-1
42223,1503
10824,-1
3828,1338
19547,1026
52816,498
44416,-1
61074,1076
42602,1084
5367,74
47379,-1
28272,-1
68766,184
20360,160
18620,1007
7634,1343
56808,1247
22889,858
68635,1542
27419,586
6210,1113
59354,84
59368,-1
46499,686
37885,1147
162,1680
23572,1258
47499,1076
49609,1286
12650,-1
24331,1051
60442,1535
8325,730
70528,1051
61499,839
2695,317
3981,1628
55282,1216
1436,209
46095,173
62803,1043
56927,686
49111,1285
57638,1643
44455,686
38694,936
38608,242
34600,1084
9298,-1
30599,184
16259,1277
11959,646
70654,-1
892,490
7319,944
1180,1462
1617,1301
67343,65
25514,858
51192,242
54569,-1
24432,957
68333,389
24482,575
69802,173
68216,84
51784,84
32171,769
5941,739
43634,1250
69518,50
35035,-1
11189,1634
63344,-1
22534,746
48949,1119
65793,-1
68965,1477
17960,-1
47782,1301
65701,-1
46262,1172
51968,-1
60795,173
27986,1483
53912,330
42600,1418
20223,-1
26411,1255
36232,173
32424,635
47274,-1
38787,242
16958,1098
31591,1043
65158,-1
41276,1565
639,-1
8850,-1
14810,1142
27890,173
21669,-1
65804,342
32749,988
55669,1076
25578,142
223,550
25794,1282
6280,618
56612,1007
54701,1273
60189,707
62735,546
12948,160
57306,828
58113,-1
60210,705
63559,1680
30210,686
30113,1432
24064,69
25269,342
41118,1685
50087,1205
44271,196
21222,1061
23886,-1
25299,1076
54249,403
48673,769
33279,-1
17851,535
53565,769
19685,1542
68403,828
34506,1404
37514,1351
22109,988
1602,1680
32569,-1
36727,475
4130,126
310,1010
15530,191
14011,697
46416,936
5442,637
11662,801
58579,618
68052,1603
49402,1301
68246,959
20185,1002
35227,818
2806,1142
6899,1173
64872,56
26963,382
28405,718
60178,184
46359,1262
8253,624
54446,1073
878,1493
61671,342
51137,366
59774,337
66721,1007
53973,769
11187,746
58710,-1
48928,1694
8537,936
19506,508
2127,806
8598,-1
37815,1142
31588,844
46563,1680
68278,1374
22367,1007
29931,70
26365,1117
35692,1221
50883,884
5826,1301
39070,484
54612,624
21659,-1
30119,1279
65418,1250
14223,1061
674,508
2382,-1
25754,1255
56274,1578
40553,1387
45904,517
27087,686
19374,111
49701,1663
49019,242
30211,-1
5907,988
9175,242
59494,1665
19946,429
63963,1051
23484,1675
70642,1489
38699,741
34141,499
29238,769
9193,342
60695,160
69442,1113
8456,1084
16151,959
23222,120
51797,251
18248,1303
13199,173
18889,624
25306,-1
11992,996
55817,1301
24970,1675
55053,1434
63062,1301
31877,1167
22550,1135
34919,1220
7028,1542
43057,342
46326,936
40938,1646
4897,1556
55952,1244
42208,1280
44950,342
15296,844
30212,1007
5526,374
49602,-1
70365,1390
15077,534
66594,1685
57414,-1
35864,342
4268,610
66870,844
4420,1221
29105,-1
59579,227
15294,1285
68814,-1
48936,342
52303,1070
23717,730
47662,1498
31311,342
56173,1316
34668,-1
37031,1301
70518,598
23476,481
47400,1489
13903,342
61743,-1
39772,686
62032,730
29054,829
29336,598
44584,1421
57727,227
67171,769
9936,342
41468,-1
68374,342
4492,1376
66354,333
49490,417
47972,173
9845,1675
48053,976
69246,914
66029,217
13511,769
32495,769
39186,227
34508,991
53814,173
37434,342
11752,342
51273,342
57547,1301
11364,739
43684,769
40257,1605
62365,1404
7230,1301
63095,324
31326,268
16280,1373
53960,64
3593,1542
39592,1051
17683,1301
27689,-1
36825,209
34114,1623
31428,-1
19819,198
23364,-1
27335,333
35719,228
23474,988
65176,494
50734,656
53521,-1
39071,173
6973,1625
68534,977
39121,1228
29132,1051
35300,988
18145,1277
46263,1187
4131,242
12463,1142
50265,641
1018,782
42741,479
16641,209
64030,1
40906,508
15227,1250
332,1285
48734,671
55073,1421
33916,1244
27153,1322
17595,844
6388,646
63803,1339
61175,792
70049,324
13985,1302
32205,1173
31372,1142
14635,173
33797,342
26467,166
3278,111
45510,70
37354,1301
16652,1007
30849,342
70753,342
25469,173
59268,-1
49828,686
60625,242
13221,686
18660,1634
43801,1173
69076,-1
65356,642
6289,1509
21773,1405
39490,454
46985,48
4305,160
6867,1051
65275,1059
14740,284
60084,240
27397,-1
35011,1310
69775,533
51647,-1
50345,324
8124,1301
18647,498
35258,403
23880,792
9961,924
31091,173
38665,1362
10940,876
10646,48
59323,733
48068,1639
27010,962
47409,-1
69259,1059
45634,64
60291,1196
688,-1
25718,512
34632,575
7928,1574
52130,-1
5699,-1
27928,535
50681,619
17780,1390
15562,792
13078,976
8993,1301
49839,565
19229,342
31236,1059
65817,64
27375,1061
26101,1167
1699,530
55718,64
29626,242
37089,317
59081,619
35282,819
51469,1454
6900,558
23789,1455
18783,242
57257,130
27651,1142
31148,799
66839,1059
25709,228
31512,1301
68003,-1
31921,1159
52837,828
67805,977
59443,65
21063,173
42506,51
48273,263
38397,1454
53804,928
20353,1301
1852,927
44218,769
17434,730
64889,342
